datetime,price,monthOfYear,Hour,dayOfWeek,difRes,difLoad,isoDay_std,priceDif1,priceRef
2021-12-01 12:00:00+01:00,236.32,12,12,2,0.40369393139841686,0.006928510370270392,59.39014950285117,39.359999999999985,196.96
2021-12-01 13:00:00+01:00,203.0,12,13,2,0.38443984881979604,-0.01498177891753273,59.39014950285117,3.0999999999999943,199.9
2021-12-01 14:00:00+01:00,225.1,12,14,2,0.3530271696498609,-0.02125043115730118,59.39014950285117,-14.800000000000011,239.9
2021-12-01 15:00:00+01:00,219.0,12,15,2,0.36151322826784565,-0.025464525127097674,59.39014950285117,-34.0,253.0
2021-12-01 16:00:00+01:00,234.02,12,16,2,0.41314269414533267,-0.02198527316626925,59.39014950285117,-24.97999999999999,259.0
2021-12-01 17:00:00+01:00,322.4,12,17,2,0.4207373600513442,-0.007498387846612978,59.39014950285117,69.44999999999999,252.95
2021-12-01 18:00:00+01:00,269.9,12,18,2,0.3820509163517079,-0.010302784901246233,59.39014950285117,40.97999999999999,228.92
2021-12-01 19:00:00+01:00,229.9,12,19,2,0.2524067603223276,-0.004379058502421979,59.39014950285117,-2.6999999999999886,232.6
2021-12-01 20:00:00+01:00,180.1,12,20,2,0.1122441702916637,-0.01216238508720625,59.39014950285117,-34.33000000000001,214.43
2021-12-01 21:00:00+01:00,239.9,12,21,2,-0.004064750766597732,-0.02573446708957574,59.39014950285117,67.39000000000001,172.51
2021-12-01 22:00:00+01:00,263.94,12,22,2,-0.08525279897311559,-0.02706918012627285,59.39014950285117,117.88999999999999,146.05
2021-12-01 23:00:00+01:00,140.1,12,23,2,-0.1632674891250089,-0.03432761956179421,59.39014950285117,13.159999999999997,126.94
2021-12-02 00:00:00+01:00,119.9,12,0,3,-0.6004040148980494,-0.014028178473844088,68.08157497108508,-11.560000000000002,131.46
2021-12-02 01:00:00+01:00,115.93,12,1,3,-0.7127075310902089,-0.015020378257086596,68.08157497108508,9.77000000000001,106.16
2021-12-02 02:00:00+01:00,109.15,12,2,3,-0.742314247837889,-0.01378394468104593,68.08157497108508,11.760000000000005,97.39
2021-12-02 03:00:00+01:00,110.57,12,3,3,-0.7873871599015214,-0.013035978690601578,68.08157497108508,16.689999999999998,93.88
2021-12-02 04:00:00+01:00,112.66,12,4,3,-0.8585316583549019,-0.009433530246828777,68.08157497108508,25.709999999999994,86.95
2021-12-02 05:00:00+01:00,115.97,12,5,3,-0.8880121204469414,-0.006350078612752057,68.08157497108508,21.700000000000003,94.27
2021-12-02 06:00:00+01:00,205.0,12,6,3,-0.8702102140016413,-0.006289020164552518,68.08157497108508,89.18,115.82
2021-12-02 07:00:00+01:00,199.1,12,7,3,-0.8984281295372767,0.0006563783181450444,68.08157497108508,49.099999999999994,150.0
2021-12-02 08:00:00+01:00,220.7,12,8,3,-0.8668013382993498,-0.005281555769260125,68.08157497108508,-27.600000000000023,248.3
2021-12-02 09:00:00+01:00,215.25,12,9,3,-0.74850072596427,-0.014944055196837173,68.08157497108508,-34.75,250.0
2021-12-02 10:00:00+01:00,196.48,12,10,3,-0.728110599078341,-0.023889117858069638,68.08157497108508,-5.6200000000000045,202.1
2021-12-02 11:00:00+01:00,222.8,12,11,3,-0.7498895271763146,-0.029124879791180107,68.08157497108508,-11.199999999999989,234.0
2021-12-02 12:00:00+01:00,217.52,12,12,3,-0.7704690360457042,-0.036528216635374214,68.08157497108508,-18.799999999999983,236.32
2021-12-02 13:00:00+01:00,226.37,12,13,3,-0.7382740988573954,-0.018393857520111127,68.08157497108508,23.370000000000005,203.0
2021-12-02 14:00:00+01:00,251.9,12,14,3,-0.7824632283315447,-0.008945062661232465,68.08157497108508,26.80000000000001,225.1
2021-12-02 15:00:00+01:00,304.96,12,15,3,-0.8046840477242598,-0.011356871365114256,68.08157497108508,85.95999999999998,219.0
2021-12-02 16:00:00+01:00,327.82,12,16,3,-0.9037939524019948,-0.016104165712628415,68.08157497108508,93.79999999999998,234.02
2021-12-02 17:00:00+01:00,354.98,12,17,3,-0.910359194495297,-0.01785959609836516,68.08157497108508,32.58000000000004,322.4
2021-12-02 18:00:00+01:00,315.2,12,18,3,-0.8678745028722934,-0.008334478179237074,68.08157497108508,45.30000000000001,269.9
2021-12-02 19:00:00+01:00,219.0,12,19,3,-0.7628306293794583,-0.009006121109432004,68.08157497108508,-10.900000000000006,229.9
2021-12-02 20:00:00+01:00,208.8,12,20,3,-0.6724322959409128,-0.009967791668574743,68.08157497108508,28.700000000000017,180.1
2021-12-02 21:00:00+01:00,205.0,12,21,3,-0.6473076194684679,-0.0054647311138587415,68.08157497108508,-34.900000000000006,239.9
2021-12-02 22:00:00+01:00,206.78,12,22,3,-0.6581023925257243,-0.010959991451817253,68.08157497108508,-57.16,263.94
2021-12-02 23:00:00+01:00,172.48,12,23,3,-0.637270374345054,-0.011387400589214025,68.08157497108508,32.379999999999995,140.1
2021-12-03 00:00:00+01:00,237.9,12,0,4,-0.28595977892341273,-0.001352015732546706,70.48232729464574,118.0,119.9
2021-12-03 01:00:00+01:00,229.6,12,1,4,-0.25530630254052294,0.00021509341199606687,70.48232729464574,113.66999999999999,115.93
2021-12-03 02:00:00+01:00,216.49,12,2,4,-0.2508476150666481,-0.001198377581120944,70.48232729464574,107.34,109.15
2021-12-03 03:00:00+01:00,173.5,12,3,4,-0.23180530398030746,-0.002396755162241888,70.48232729464574,62.93000000000001,110.57
2021-12-03 04:00:00+01:00,122.62,12,4,4,-0.12679392503831685,-0.006375983284169125,70.48232729464574,9.960000000000008,112.66
2021-12-03 05:00:00+01:00,125.93,12,5,4,-0.011704054618921555,-0.008788102261553589,70.48232729464574,9.960000000000008,115.97
2021-12-03 06:00:00+01:00,169.95,12,6,4,0.11629743161023641,-0.013581612586037364,70.48232729464574,-35.05000000000001,205.0
2021-12-03 07:00:00+01:00,232.1,12,7,4,0.1966466954623566,-0.02028023598820059,70.48232729464574,33.0,199.1
2021-12-03 08:00:00+01:00,243.88,12,8,4,0.20523895778180298,-0.018236848574237956,70.48232729464574,23.180000000000007,220.7
2021-12-03 09:00:00+01:00,217.75,12,9,4,0.19994426640657656,-0.020817969518190756,70.48232729464574,2.5,215.25
2021-12-03 10:00:00+01:00,180.96,12,10,4,0.24193024011889833,-0.03154191248770895,70.48232729464574,-15.519999999999982,196.48
2021-12-03 11:00:00+01:00,160.41,12,11,4,0.174539036737727,-0.032940019665683384,70.48232729464574,-62.390000000000015,222.8
2021-12-03 12:00:00+01:00,140.01,12,12,4,0.16603966374065302,-0.029498525073746312,70.48232729464574,-77.51000000000002,217.52
2021-12-03 13:00:00+01:00,140.8,12,13,4,0.2639450095211555,-0.0025964847590953786,70.48232729464574,-85.57,226.37
2021-12-03 14:00:00+01:00,179.93,12,14,4,0.4564116854767544,-0.003518313667649951,70.48232729464574,-71.97,251.9
2021-12-03 15:00:00+01:00,164.9,12,15,4,0.5868747387487808,-0.01319751720747296,70.48232729464574,-140.05999999999997,304.96
2021-12-03 16:00:00+01:00,180.0,12,16,4,0.7150155589614974,-0.005254424778761062,70.48232729464574,-147.82,327.82
2021-12-03 17:00:00+01:00,280.0,12,17,4,0.7188240211787655,-0.006498893805309734,70.48232729464574,-74.98000000000002,354.98
2021-12-03 18:00:00+01:00,266.95,12,18,4,0.6725651386373136,-0.013443338249754178,70.48232729464574,-48.25,315.2
2021-12-03 19:00:00+01:00,184.6,12,19,4,0.6098648460359481,-0.020664331366764994,70.48232729464574,-34.400000000000006,219.0
2021-12-03 20:00:00+01:00,219.0,12,20,4,0.5604477265338349,-0.007005899705014749,70.48232729464574,10.199999999999989,208.8
2021-12-03 21:00:00+01:00,199.9,12,21,4,0.5152106265384794,-0.011584316617502458,70.48232729464574,-5.099999999999994,205.0
2021-12-03 22:00:00+01:00,199.93,12,22,4,0.44099205796293717,-0.006560349065880039,70.48232729464574,-6.849999999999994,206.78
2021-12-03 23:00:00+01:00,220.0,12,23,4,0.35530165807440434,0.005592428711897739,70.48232729464574,47.52000000000001,172.48
2021-12-04 00:00:00+01:00,258.0,12,0,5,0.13992047415410008,0.005471612870839818,42.401965993438274,20.099999999999994,237.9
2021-12-04 01:00:00+01:00,198.0,12,1,5,0.020631705304223872,0.007479544199588374,42.401965993438274,-31.599999999999994,229.6
2021-12-04 02:00:00+01:00,163.79,12,2,5,-0.09438067371895865,0.004752104144704917,42.401965993438274,-52.70000000000002,216.49
2021-12-04 03:00:00+01:00,185.0,12,3,5,-0.22402280741240904,0.011696199989960344,42.401965993438274,11.5,173.5
2021-12-04 04:00:00+01:00,185.01,12,4,5,-0.4304899092204967,0.01554473503672841,42.401965993438274,62.389999999999986,122.62
2021-12-04 05:00:00+01:00,183.79,12,5,5,-0.6103233550904044,0.00440071616217392,42.401965993438274,57.859999999999985,125.93
2021-12-04 06:00:00+01:00,187.6,12,6,5,-0.7794283142021157,-0.02891421113397922,42.401965993438274,17.650000000000006,169.95
2021-12-04 07:00:00+01:00,205.0,12,7,5,-0.8666816715432516,-0.0875960042166558,42.401965993438274,-27.099999999999994,232.1
2021-12-04 08:00:00+01:00,222.79,12,8,5,-0.9136469352539576,-0.11095493867443067,42.401965993438274,-21.090000000000003,243.88
2021-12-04 09:00:00+01:00,235.01,12,9,5,-1.0087028284192363,-0.07872764084801633,42.401965993438274,17.25999999999999,217.75
